Send Batch,Stage,Group,Platform,Priority,Match Score,Title,Budget,Tracking Landing URL,Listing URL,Live Check,Copy-ready Outreach Message
Batch A,Not Sent,Client Inbox,FL.ru,A,95,Внедрение ИИ-агента для автоматизации переписок с клиентами,по договоренности,https://dali.agents.ge/ru/solutions/client-inbox?ref=fl-5515592,https://www.fl.ru/projects/5515592/vnedrenie-ii-agenta-dlya-avtomatizatsii-perepisok-s-klientami.html,Open,"Вижу задачу на переписку в мессенджерах и по email с интеграцией в Битрикс24. Я бы начал с одного проверяемого workflow: входящее сообщение, черновик ответа, ручное подтверждение и запись в CRM.

Граница такого пилота описана здесь: https://dali.agents.ge/ru/solutions/client-inbox?ref=fl-5515592

Если такая граница совпадает с задачей, ответьте в проекте и пришлите основной канал, CRM, один типичный диалог и действия, которые всегда должен подтверждать человек. Я превращу это в первый набор примеров и тест приемки до начала реализации."
Batch C,Not Sent,Client Inbox,Upwork,A,95,AI Automation Engineer: Build a Custom Claude Customer Service Agent,Hourly: $40.00 - $80.00,https://dali.agents.ge/for/upwork/client-inbox?ref=uw-022069443845701876220,https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Engineer-Build-Custom-Claude-Customer-Service-span-class-highlight-Agent-span_~022069443845701876220/?referrer_url_path=/nx/search/jobs/,Manual Check,"Your brief is not just a chatbot. It is a controlled customer-response path across approved knowledge, files, email, and CRM, with sensitive actions stopped for review. I would prove that boundary on one channel and one representative thread set before expanding the workflow.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/client-inbox?ref=uw-022069443845701876220

If that boundary matches your brief, reply here in Upwork with your primary customer channel, CRM or case history, and one representative thread. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch B,Not Sent,Client Inbox,FL.ru,A,93,Интеграция GPT и Битрикс для международной логистики,по договоренности,https://dali.agents.ge/ru/solutions/client-inbox?ref=fl-5514909,https://www.fl.ru/projects/5514909/integratsiya-gpt-i-bitriks-dlya-mejdunarodnoy-logistiki-.html,Open,"Вижу задачу на GPT, Битрикс24 и n8n для международной логистики. Я бы сначала зафиксировал один клиентский сценарий: входящее обращение, ответ по утвержденному контексту, запись результата в Битрикс24 и передача нестандартного случая человеку.

Граница такого пилота описана здесь: https://dali.agents.ge/ru/solutions/client-inbox?ref=fl-5514909

Если такая граница совпадает с задачей, ответьте в проекте и пришлите основной канал, CRM, один типичный диалог и действия, которые всегда должен подтверждать человек. Я превращу это в первый набор примеров и тест приемки до начала реализации."
Batch C,Not Sent,Client Inbox,FL.ru,A,92,AI агент,по договоренности,https://dali.agents.ge/ru/solutions/client-inbox?ref=fl-5513206,https://www.fl.ru/projects/5513206/ai-agent.html,Open,"Вижу задачу на открытые линии, чаты и файлы внутри Битрикс24. Я бы начал с одной линии и одного набора правил: прочитать обращение и файл, подготовить ответ, записать историю и передать человеку все, что выходит за утвержденный контекст.

Граница такого пилота описана здесь: https://dali.agents.ge/ru/solutions/client-inbox?ref=fl-5513206

Если такая граница совпадает с задачей, ответьте в проекте и пришлите основной канал, CRM, один типичный диалог и действия, которые всегда должен подтверждать человек. Я превращу это в первый набор примеров и тест приемки до начала реализации."
Batch A,Not Sent,Client Inbox,Upwork,C,70,n8n AI Automation Specialist for Chatbot,Hourly: $19-$40,https://dali.agents.ge/for/upwork/client-inbox?ref=uw-022081818297985759122,https://www.upwork.com/jobs/n8n-Automation-Specialist-for-Chatbot_~022081818297985759122/?referrer_url_path=find_work_home,Open,"The safest first milestone for Sara is one customer channel, one approved RAG source set, one case-history destination, and a clear escalation rule. That gives you a replayable customer-response test before committing to the full omnichannel experience.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/client-inbox?ref=uw-022081818297985759122

If that boundary matches your brief, reply here in Upwork with your primary customer channel, CRM or case history, and one representative thread. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch B,Not Sent,Client Inbox,FL.ru,A,90,Подключить ИИ-ассистента для переписки и отправки фотографий в чате,по договоренности,No link in diagnostic proposal,https://www.fl.ru/projects/5515230/podklyuchit-ii-asisstenta-dlya-prepiski-i-otpravki-fotografiy-v-chate.html,Open,"Вижу задачу на переписку и отправку фото и видео с клиентами через Kommo. Я бы начал с одного чата, одного правила отправки медиа и ручного подтверждения перед любым действием.

Если такая граница совпадает с задачей, ответьте в проекте и пришлите основной канал, CRM, один типичный диалог и действия, которые всегда должен подтверждать человек. Я превращу это в первый набор примеров и тест приемки до начала реализации."
Hold,Hold,Client Inbox,Upwork,D,60,AI Automation Expert,"$1,500.00",https://dali.agents.ge/for/upwork/client-inbox?ref=uw-022075920337694781992,https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Expert_~022075920337694781992/?referrer_url_path=/nx/search/jobs/,Not Checked,"A complete e-commerce support agent is too broad to validate in one step. I would first replay one support channel against an approved store-context set, log every outcome, and route any unsupported or sensitive action to a person.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/client-inbox?ref=uw-022075920337694781992

If that boundary matches your brief, reply here in Upwork with your primary customer channel, CRM or case history, and one representative thread. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch C,Not Sent,Operations & Documents,Upwork,A,90,AI Automation Engineer Build AI Transaction Coordinator for Brivity CRM Claude + Browser Automation,Hourly: $25.00 - $75.00,https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022073883528374083136,https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Engineer-Build-span-class-highlight-span-Transaction-Coordinator-for-Brivity-CRM-Claude-Browser-span-class-highlight-Automation-span_~022073883528374083136/?referrer_url_path=/nx/search/jobs/,Manual Check,"I would scope this to one deal path only: Gmail to Brivity record, document upload, checklist update, and a fallback when the UI changes.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022073883528374083136

If that boundary matches your brief, reply here in Upwork with one representative input, the required output fields, the target system, and the exception owner. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch C,Not Sent,Operations & Documents,Upwork,A,90,AI Workflow Automation Developer for Order Processing and Operations,$300.00,https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022079631969043129867,https://www.upwork.com/jobs/span-class-highlight-span-Workflow-span-class-highlight-Automation-span-Developer-for-Order-Processing-and-Operations_~022079631969043129867/?referrer_url_path=/nx/search/jobs/,Manual Check,"I would not automate the whole order desk first. I would prove one auditable path from email, PDF, or sheet to a validated ERP or CRM draft, with a human exception queue and dedupe checks.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022079631969043129867

If that boundary matches your brief, reply here in Upwork with one representative input, the required output fields, the target system, and the exception owner. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch B,Not Sent,Operations & Documents,Upwork,B,85,AI-Powered Property Management & Tenant Operations Automation,Hourly: $15.00 - $25.00,https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022081598123554232311,https://www.upwork.com/jobs/span-class-highlight-span-Powered-Property-Management-amp-Tenant-Operations-span-class-highlight-Automation-span_~022081598123554232311/?referrer_url_path=/nx/search/jobs/,Manual Check,"I would keep the first release to one tenant workflow only: WhatsApp or screenshot intake, OCR, Buildium check, QuickBooks sync, exception queue.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022081598123554232311

If that boundary matches your brief, reply here in Upwork with one representative input, the required output fields, the target system, and the exception owner. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch A,Not Sent,Operations & Documents,Upwork,B,85,Build AI-Powered Zapier Workflow for Automatic Mail Processing (Google Drive + Claude + Discord),Hourly,https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022081965076177154541,https://www.upwork.com/jobs/Build-Powered-Zapier-Workflow-for-Automatic-Mail-Processing-Google-Drive-Claude-Discord_~022081965076177154541/?referrer_url_path=find_work_home,Open,"I would start with one mailbox-to-Drive path: OCR, classify, rename, file, then notify. If that is stable, we can add more document types.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022081965076177154541

If that boundary matches your brief, reply here in Upwork with one representative input, the required output fields, the target system, and the exception owner. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch A,Not Sent,Operations & Documents,Upwork,B,85,AI Agent Developer for Commodity Data,Hourly: $25-$45,https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022082121535485723389,https://www.upwork.com/jobs/Agent-Developer-for-Commodity-Data_~022082121535485723389/?referrer_url_path=find_work_home,Open,"I would keep the first milestone exactly to the approved-source data path: research one commodity set, map it to one schema, validate required fields, and export one Excel and PDF package with exceptions visible.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022082121535485723389

If that boundary matches your brief, reply here in Upwork with one representative input, the required output fields, the target system, and the exception owner. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch B,Not Sent,Operations & Documents,FL.ru,B,88,Помощь в настройке Claude,по договоренности,No link in diagnostic proposal,https://www.fl.ru/projects/5514469/pomosch-v-nastroyke-claude.html,Open,"Вижу задачу на автоматическое создание коммерческих предложений и расчетов по шаблонам. Я бы начал с одного шаблона и одного набора параметров: извлечение, проверка обязательных полей и формул, предпросмотр результата и подтверждение человеком.

Если такая граница совпадает с задачей, ответьте в проекте и пришлите один типичный вход, нужные поля, целевую систему и того, кто проверяет исключения. Я превращу это в первый набор примеров и тест приемки до начала реализации."
Hold,Hold,Operations & Documents,Upwork,B,85,n8n Automation Developer for Commercial Restoration,Hourly: $5-$35,https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022081838181027419548,https://www.upwork.com/jobs/n8n-Automation-Developer-for-Commercial-Restoration_~022081838181027419548/?referrer_url_path=find_work_home,Not Checked,"I would keep the pilot to one event stream first: ingest, dedupe, score, store, alert. That proves signal quality before adding more sources.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022081838181027419548

If that boundary matches your brief, reply here in Upwork with one representative input, the required output fields, the target system, and the exception owner. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Hold,Hold,Operations & Documents,Upwork,C,75,AI / Automation Engineer - Build an Automated Financial Data-to-Report Pipeline,Hourly,https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022072326457921207805,https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Engineer-Build-span-class-highlight-Automated-span-Financial-Data-Report-Pipeline_~022072326457921207805/?referrer_url_path=/nx/search/jobs/,Not Checked,"I would build one repeatable data-to-report path first: one financial source, one standardized report, then QA checks before expanding.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/operations-docs?ref=uw-022072326457921207805

If that boundary matches your brief, reply here in Upwork with one representative input, the required output fields, the target system, and the exception owner. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch C,Not Sent,Internal Knowledge Assistant,Upwork,A,90,"AI Automation Engineer - Build One Business-Ops AI Agent (Claude + n8n, RAG)",Hourly: $20.00 - $30.00,https://dali.agents.ge/for/upwork/knowledge-assistant?ref=uw-022075311922210730379,https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Engineer-Build-One-Business-Ops-span-class-highlight-span-span-class-highlight-Agent-span-Claude-n8n-RAG_~022075311922210730379/?referrer_url_path=/nx/search/jobs/,Manual Check,"I would keep this read-only first: CRM plus Sheets plus internal docs into a prioritized Slack list. No autonomous actions until the list is trusted.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/knowledge-assistant?ref=uw-022075311922210730379

If that boundary matches your brief, reply here in Upwork with the approved source set, intended users, and two representative questions. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Skip - Closed,Lost,Internal Knowledge Assistant,Upwork,B,80,Hive Second Brains: Shared Agentic Knowledge/Ontology Infrastructure + Graph RAG System,Hourly: $50,https://dali.agents.ge/for/upwork/knowledge-assistant?ref=uw-022082116475484824757,https://www.upwork.com/jobs/Hive-Second-Brains-Shared-Agentic-Knowledge-Ontology-Infrastructure-Graph-RAG-System_~022082116475484824757/?referrer_url_path=find_work_home,Closed,"I saw your brief about a shared knowledge layer across Slack, Notion, Zoom, and meeting notes. I can scope a narrow pilot that extracts decisions, tasks, owners, and deadlines from a few sources, keeps answers grounded, and proves the workflow before any larger rollout.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/knowledge-assistant?ref=uw-022082116475484824757

If that boundary matches your brief, reply here in Upwork with the approved source set, intended users, and two representative questions. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch B,Not Sent,Internal Knowledge Assistant,Upwork,C,75,RAG Chatbot Developer - LangChain + Vector Search over Internal Docs,$500,https://dali.agents.ge/for/upwork/knowledge-assistant?ref=uw-022081833254755580077,https://www.upwork.com/jobs/RAG-Chatbot-Developer-LangChain-Vector-Search-over-Internal-Docs_~022081833254755580077/?referrer_url_path=find_work_home,Manual Check,"I saw the 5-7 day internal-doc chatbot brief. That is a good fit for a focused pilot: one document set, grounded answers with citations, and a clear refusal path when the source does not support the answer.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/knowledge-assistant?ref=uw-022081833254755580077

If that boundary matches your brief, reply here in Upwork with the approved source set, intended users, and two representative questions. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Batch C,Not Sent,Internal Knowledge Assistant,Upwork,C,75,"AI Agent Developer (Python/FastAPI) - RAG, Pinecone & LLM Automation Expert Needed",Hourly: $25.00 - $50.00,No link in diagnostic proposal,https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Agent-span-Developer-Python-FastAPI-RAG-Pinecone-amp-LLM-span-class-highlight-Automation-span-Expert-Needed_~022079236014340896590/?referrer_url_path=/nx/search/jobs/,Manual Check,"Your brief is close to a practical knowledge-assistant build: ingestion, retrieval, grounded answers, and eval. I would start with a narrow pilot that proves document intake, retrieval quality, and fail-safe responses first, then expand only after the first system is working.

If that boundary matches your brief, reply here in Upwork with the approved source set, intended users, and two representative questions. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Hold,Hold,Internal Knowledge Assistant,Upwork,C,70,AI Knowledge Assistant for AML/CTF Compliance Platform (Sydney Preferred),"$1,500",https://dali.agents.ge/for/upwork/knowledge-assistant?ref=uw-022081922819151747063,https://www.upwork.com/jobs/Knowledge-Assistant-for-AML-CTF-Compliance-Platform-Sydney-Preferred_~022081922819151747063/?referrer_url_path=find_work_home,Not Checked,"I read your compliance assistant brief and would treat it as a narrow, controlled knowledge assistant pilot. The safest path is one client type, one curated source set, citation-backed answers, and a strict refusal mode for anything outside the approved material.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/knowledge-assistant?ref=uw-022081922819151747063

If that boundary matches your brief, reply here in Upwork with the approved source set, intended users, and two representative questions. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Hold,Hold,Voice Agents,Upwork,D,65,AI Automation | AI Voice Agent & n8n Automation | Vapi / Retell AI / Eleven Labs | LLM Integration,Hourly: $20-$40,https://dali.agents.ge/for/upwork/voice-agents?ref=uw-022082043668763252124,https://www.upwork.com/jobs/Automation-Voice-Agent-n8n-Automation-Vapi-Retell-Eleven-Labs-LLM-Integration_~022082043668763252124/?referrer_url_path=find_work_home,Not Checked,"Your brief fits a narrow pilot well: one disclosed inbound call flow, one booking or qualification path, and human transfer for exceptions. I would avoid expanding into support and multiple channels until the first lane is reliable.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/voice-agents?ref=uw-022082043668763252124

If that boundary matches your brief, reply here in Upwork with one call type, telephony provider, intended action, and human handoff rule. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
Hold,Hold,Voice Agents,Upwork,D,65,AI Calling Agent & AI Chatbot Developer for Business Automation,Hourly: $25.00 - $40.00,https://dali.agents.ge/for/upwork/voice-agents?ref=uw-022080259272497837564,https://www.upwork.com/jobs/span-class-highlight-span-Calling-span-class-highlight-Agent-span-amp-span-class-highlight-span-Chatbot-Developer-for-Business-span-class-highlight-Automation-span_~022080259272497837564/?referrer_url_path=/nx/search/jobs/,Not Checked,"I would separate this into a voice-first pilot instead of building the phone agent and chatbot together. One call type, one CRM update, and one handoff path is the safest way to prove the system before expanding.

I packaged that exact pilot boundary here: https://dali.agents.ge/for/upwork/voice-agents?ref=uw-022080259272497837564

If that boundary matches your brief, reply here in Upwork with one call type, telephony provider, intended action, and human handoff rule. I will turn those inputs into the first replay set and pass/fail acceptance test before implementation."
