group,record_key,platform,match,report_rank,title,budget,competition,posted,url
"operations-docs","Upwork:~022081965076177154541","Upwork","85","12","Build AI-Powered Zapier Workflow for Automatic Mail Processing (Google Drive + Claude + Discord)","Hourly","50+","12 hours ago","https://www.upwork.com/jobs/Build-Powered-Zapier-Workflow-for-Automatic-Mail-Processing-Google-Drive-Claude-Discord_~022081965076177154541/?referrer_url_path=find_work_home"
"operations-docs","Upwork:~022081598123554232311","Upwork","85","11","AI-Powered Property Management & Tenant Operations Automation","Hourly: $15.00 - $25.00","20 to 50","yesterday","https://www.upwork.com/jobs/span-class-highlight-span-Powered-Property-Management-amp-Tenant-Operations-span-class-highlight-Automation-span_~022081598123554232311/?referrer_url_path=/nx/search/jobs/"
"operations-docs","Upwork:~022081838181027419548","Upwork","85","13","n8n Automation Developer for Commercial Restoration","Hourly: $5-$35","50+","21 hours ago","https://www.upwork.com/jobs/n8n-Automation-Developer-for-Commercial-Restoration_~022081838181027419548/?referrer_url_path=find_work_home"
"operations-docs","Upwork:~022072326457921207805","Upwork","75","18","AI / Automation Engineer - Build an Automated Financial Data-to-Report Pipeline","Hourly","50+","4 weeks ago","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Engineer-Build-span-class-highlight-Automated-span-Financial-Data-Report-Pipeline_~022072326457921207805/?referrer_url_path=/nx/search/jobs/"
"operations-docs","Upwork:~022082121535485723389","Upwork","85","39","AI Agent Developer for Commodity Data","Hourly: $25-$45","20 to 50","2 hours ago","https://www.upwork.com/jobs/Agent-Developer-for-Commodity-Data_~022082121535485723389/?referrer_url_path=find_work_home"
"operations-docs","FL.ru:5514469","FL.ru","88","154","Помощь в настройке Claude","по договоренности","27","not saved","https://www.fl.ru/projects/5514469/pomosch-v-nastroyke-claude.html"
"knowledge-assistant","Upwork:~022075311922210730379","Upwork","90","34","AI Automation Engineer - Build One Business-Ops AI Agent (Claude + n8n, RAG)","Hourly: $20.00 - $30.00","50+","3 weeks ago","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Automation-span-Engineer-Build-One-Business-Ops-span-class-highlight-span-span-class-highlight-Agent-span-Claude-n8n-RAG_~022075311922210730379/?referrer_url_path=/nx/search/jobs/"
"knowledge-assistant","Upwork:~022082116475484824757","Upwork","80","142","Hive Second Brains: Shared Agentic Knowledge/Ontology Infrastructure + Graph RAG System","Hourly: $50","50+","2 hours ago","https://www.upwork.com/jobs/Hive-Second-Brains-Shared-Agentic-Knowledge-Ontology-Infrastructure-Graph-RAG-System_~022082116475484824757/?referrer_url_path=find_work_home"
"knowledge-assistant","Upwork:~022079236014340896590","Upwork","75","143","AI Agent Developer (Python/FastAPI) - RAG, Pinecone & LLM Automation Expert Needed","Hourly: $25.00 - $50.00","50+","last week","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Agent-span-Developer-Python-FastAPI-RAG-Pinecone-amp-LLM-span-class-highlight-Automation-span-Expert-Needed_~022079236014340896590/?referrer_url_path=/nx/search/jobs/"
"knowledge-assistant","Upwork:~022081833254755580077","Upwork","75","144","RAG Chatbot Developer - LangChain + Vector Search over Internal Docs","$500","50+","21 hours ago","https://www.upwork.com/jobs/RAG-Chatbot-Developer-LangChain-Vector-Search-over-Internal-Docs_~022081833254755580077/?referrer_url_path=find_work_home"
"knowledge-assistant","Upwork:~022081922819151747063","Upwork","70","145","AI Knowledge Assistant for AML/CTF Compliance Platform (Sydney Preferred)","$1,500","50+","15 hours ago","https://www.upwork.com/jobs/Knowledge-Assistant-for-AML-CTF-Compliance-Platform-Sydney-Preferred_~022081922819151747063/?referrer_url_path=find_work_home"
"voice-agents","Upwork:~022082043668763252124","Upwork","65","132","AI Automation | AI Voice Agent & n8n Automation | Vapi / Retell AI / Eleven Labs | LLM Integration","Hourly: $20-$40","50+","7 hours ago","https://www.upwork.com/jobs/Automation-Voice-Agent-n8n-Automation-Vapi-Retell-Eleven-Labs-LLM-Integration_~022082043668763252124/?referrer_url_path=find_work_home"
"voice-agents","Upwork:~022080259272497837564","Upwork","65","133","AI Calling Agent & AI Chatbot Developer for Business Automation","Hourly: $25.00 - $40.00","20 to 50","5 days ago","https://www.upwork.com/jobs/span-class-highlight-span-Calling-span-class-highlight-Agent-span-amp-span-class-highlight-span-Chatbot-Developer-for-Business-span-class-highlight-Automation-span_~022080259272497837564/?referrer_url_path=/nx/search/jobs/"
