rank,source_id,match_pct,category,kind,status,budget,responses,title,brief,url
44,5515292,30,"Контент / media",project,open,"2 500",5,"Раскадровка AI-ролика для ювелирного бренда","Концепция hero-видео и раскадровка для отбора идеи.","https://www.fl.ru/projects/5515292/kreativnaya-raskadrovka-ai-rolika-dlya-luxury-yuvelirnogo-brenda.html"
45,5507941,25,"Контент / media",project,assigned,"по договоренности",0,"Визуал для шести коротких роликов","Короткие ролики по готовому сценарию для лесного лагеря. Исполнитель уже определен.","https://www.fl.ru/projects/5507941/vizual-dlya-6-korotkih-verikalnyih-neyrosetevyih-rolika-videootryivki-opisyivayuschie-aktivnost.html"
46,5509776,25,"Вакансия / роль",vacancy,open,"до 2 000 ₽",51,"Создание AI-мультфильмов","Роль для генерации видео и анимации с помощью нейросетей.","https://www.fl.ru/projects/5509776/sozdanie-ai-multfilmov.html"
47,5510020,25,"Вакансия / роль",vacancy,open,"до 100 ₽",15,"Вирусные AI-видео для TikTok и Reels","Регулярное производство коротких видео под ключ с крайне низким заявленным бюджетом.","https://www.fl.ru/projects/5510020/sozdanie-virusnyih-ai-video-dlya-tiktok---reels-pod-klyuch.html"
48,5514940,25,"Контент / media",project,open,"по договоренности",21,"Сгенерировать картинку в ИИ","Собрать достопримечательности города в одну мультяшную композицию.","https://www.fl.ru/projects/5514940/sgenerirovat-kartinku-v-ii.html"
49,5507284,20,"Вакансия / роль",vacancy,open,"до 40 000 ₽",28,"Куратор по вайб-кодингу","Наставник в образовательной программе по AI-инструментам.","https://www.fl.ru/projects/5507284/kurator-po-vay-kodingu-.html"
50,5507575,20,"Вакансия / роль",vacancy,open,"до 40 000 ₽",22,"Куратор AI-инструментов","Сопровождение участников образовательного AI-проекта.","https://www.fl.ru/projects/5507575/kurator-ai-instrumentov.html"
51,5507579,20,"Вакансия / роль",vacancy,open,"до 40 000 ₽",31,"Проверка чата AI","Сопровождение участников образовательного AI-проекта.","https://www.fl.ru/projects/5507579/proverka-chata-ai.html"
52,5513292,20,"Вакансия / роль",vacancy,open,"до 10 000 ₽",13,"YouTube-менеджер","Полное ведение канала, контент-план и аналитика. AI-боль не описана.","https://www.fl.ru/projects/5513292/youtube-menedjer-dlya-vedeniya-kanala.html"
53,5513306,20,"Вакансия / роль",vacancy,open,"1 000 ₽",53,"Редактирование 15-секундного видео","Заменить фон и дорисовать длинный рукав.","https://www.fl.ru/projects/5513306/ii-redaktirovanie-video-15-sek-samo-video-est-.html"
54,5514075,20,"Смежное",project,assigned,"4 000",0,"Пиксельная разметка фотографий","Ручная разметка 40 фотографий личинок. Исполнитель уже определен.","https://www.fl.ru/projects/5514075/razmetka-40-fotografiy-lichinok-popikselnyimi-maskami.html"
55,5513649,15,"Вакансия / роль",vacancy,open,"по результатам собеседования",6,"Venture Strategy & AI Intelligence Intern","Удаленная стажировка в аналитической платформе для стартапов.","https://www.fl.ru/projects/5513649/venture-strategy--ai-intelligence-consultant-intern.html"
56,5514239,0,"Нерелевантно",vacancy,open,"70 000 ₽ - 120 000 ₽",1,"Массажист / SPA-специалист","Ложное попадание в AI-категорию.","https://www.fl.ru/projects/5514239/massajist---spa-spetsialist.html"
57,5514284,0,"Риск / исключить",project,open,"по договоренности",1,"Записать песню на готовый текст","Заказчик просит имитировать голос известной певицы.","https://www.fl.ru/projects/5514284/zdravstvuyte-mne-nujno-zapisat-pesnyu-na-moy-gotovyiy-tekst.html"
58,5514593,0,"Риск / исключить",project,open,"по договоренности",26,"Доработать программу для покера","Автоматический бот для прибыльной игры в покер. Высокий риск нарушения правил и недобросовестного использования.","https://www.fl.ru/projects/5514593/dorabotat-programmu-poker--ii.html"
